"year","month","flow","port","region","volumen_10k_m3","volume_MCF","value_US","avgPrice_US_MMBTU"
1991,"October","Imports","Coutts","MidWest",73.3,2587.56050584866,4512.57,1.77
1991,"October","Imports","St Clair","MidWest",78823.3,2782538.30860383,4731029.53,1.69
1991,"November","Exports","Aden","MidWest",26957.3,951618.61970415,1632675.41,1.73
1991,"November","Exports","Cardston","MidWest",24595.6,868248.338030715,886448.89,1.01
1991,"November","Exports","Cornwall","East",25190.9,889263.000638241,2874853.36,3.2
1991,"November","Exports","Emerson","MidWest",861497.2,30411679.8174517,61769042.32,2.01
1991,"November","Exports","Fort Frances","East",18772.9,662701.427288491,1657329.28,2.48
1991,"November","Exports","Highwater","East",24315.2,858349.948319392,2255756.19,2.6
1991,"November","Exports","Huntingdon","West",555472.5,19608713.5482268,32985941.61,1.62
1991,"November","Exports","Kingsgate","West",1252532.7,44215609.0969167,86721263.55,1.93
1991,"November","Exports","Monchy","MidWest",1036127.2,36576286.7906625,61621321.74,1.65
1991,"November","Exports","Niagara Falls","East",624863.7,22058289.6542765,55910977.59,2.51
1991,"November","Exports","Ojibway (Windsor)","MidWest",1446,51045.1908793611,96099.37,1.86
1991,"November","Exports","Philipsburg","East",18148,640641.856209298,1910171.37,2.95
1991,"November","Exports","Reagan Field","MidWest",396.1,13982.7110009094,23825.79,1.34
1991,"November","Exports","Sprague","MidWest",348.1,12288.2648306401,37891.59,3.05
1991,"November","Exports","St Clair","MidWest",67132.8,2369852.41373857,4133437.08,1.73
1991,"November","Imports","Coutts","MidWest",99.7,3519.50589949675,6283.94,1.8
1991,"November","Imports","Emerson","MidWest",988,34877.350338042,573460.85,16.28
1991,"November","Imports","Ojibway (Windsor)","MidWest",16746,591149.907652684,1516436.79,2.53
1991,"November","Imports","Sarnia","MidWest",1008,35583.3695756542,4458.87,0.12
1991,"November","Imports","St Clair","MidWest",47998.1,1694379.09844167,3331450.11,1.94
1991,"December","Exports","Aden","MidWest",25411.4,897046.862732916,1521330.66,1.7
1991,"December","Exports","Cardston","MidWest",39748.6,1403163.81340759,1822455.99,1.28
1991,"December","Exports","Cornwall","East",34735.7,1226203.62159628,3686891.06,2.98
1991,"December","Exports","Emerson","MidWest",872051.8,30784267.3497167,66601130.43,2.14
1991,"December","Exports","Fort Frances","East",19456.4,686829.634733887,1631311.5,2.35
1991,"December","Exports","Highwater","East",27458.5,969311.461798711,2168727.81,2.22
1991,"December","Exports","Huntingdon","West",656026.5,23158366.4691696,39194793.77,1.64
1991,"December","Exports","Iroquois","East",101133.3,3570102.76816023,8955247.63,2.48
1991,"December","Exports","Kingsgate","West",1398906,49382727.3805557,94155109.15,1.88
1991,"December","Exports","Monchy","MidWest",1027131.2,36258719.3375845,61182111.39,1.65
1991,"December","Exports","Niagara Falls","East",630654.2,22262699.8740462,57714560.84,2.56
1991,"December","Exports","Ojibway (Windsor)","MidWest",1581,55810.8207332433,101859.49,1.8
1991,"December","Exports","Philipsburg","East",25773,909811.690548944,2532193.46,2.76
1991,"December","Exports","Reagan Field","MidWest",391.4,13816.7964800705,23548,1.34
1991,"December","Exports","Sarnia","MidWest",43464.8,1534349.24794831,2785893.89,1.8
1991,"December","Exports","Sprague","MidWest",403.5,14243.9381188259,40739.43,2.83
1991,"December","Exports","St Clair","MidWest",52379.9,1849060.85321013,3411885.56,1.83
1991,"December","Imports","Cornwall","East",317.3,11200.9952047173,330093.52,29.17
